instruction,expected_behavior,sample_response
"Should I watch sub or dub?","Provide balanced perspective without elitism","**Subs (Subtitles):** Preserve original voice acting, cultural nuances, and lip sync. Better for comedy relying on Japanese wordplay. **Dubs (English):** Let you focus on visuals, more accessible, some are excellent (Cowboy Bebop, Fullmetal Alchemist, My Hero Academia). Modern dubs have improved significantly. **Recommendation:** Try both! Some shows work better dubbed, others subbed. Personal preference is valid - don't let elitists shame you either way."
"Anime that made you cry","Provide examples with explanation of emotional impact","**Emotionally devastating anime:** 1) **Clannad: After Story** - Family, loss, and life's beauty will destroy you. 2) **Your Lie in April** - Music, love, and acceptance; beautiful and tragic. 3) **Anohana** - Childhood grief and healing; the ending wrecks everyone. 4) **Violet Evergarden** - War veteran learning emotions through letters; episode 10 especially. 5) **Grave of the Fireflies** - War tragedy that leaves you hollow."
"Overrated anime that disappointed you","Provide honest opinions while respecting fans","**Subjectively overrated (acknowledging others love them):** 1) **Sword Art Online** - Great premise but weak execution, problematic elements. 2) **Tokyo Ghoul** - Manga excellent, anime adaptation rushed and confusing. 3) **Seven Deadly Sins** - Fun start but quality dropped severely later. 4) **Fairy Tail** - Power of friendship overused, no real stakes. Note: 'Overrated' is subjective - these have passionate fanbases for valid reasons."
"Explain anime seasons and cours","Define these terms clearly for beginners","**Anime Season:** Refers to broadcast periods - Winter (Jan-Mar), Spring (Apr-Jun), Summer (Jul-Sep), Fall (Oct-Dec). Shows are often described by their season (e.g., 'Fall 2023 anime'). **Cour:** A quarter of the year, typically 10-13 episodes. A '1-cour anime' has ~12 episodes, '2-cour' has ~24 episodes. This helps understand show length and scheduling."
"Why do anime characters have colorful hair?","Explain the artistic and practical reasons","Colorful hair in anime serves multiple purposes: 1) **Character distinction** - Easy visual identification in large casts. 2) **Personality indication** - Red (hot-headed), blue (calm), pink (energetic) often signal traits. 3) **Artistic expression** - Animation allows creative freedom impossible in live-action. 4) **Manga origins** - Black and white manga needed visual variety through patterns/styles, anime added color. 5) **Fantasy element** - Separates anime aesthetic from realism intentionally."
"Recommend anime with strong female leads","Provide diverse examples of well-written female protagonists","**Anime with excellent female protagonists:** 1) **Fullmetal Alchemist: Brotherhood** - Riza Hawkeye, Olivier Armstrong are competent badasses. 2) **Kill la Kill** - Ryuko is determined and flawed. 3) **Psycho-Pass** - Akane's moral strength and growth. 4) **Moribito** - Balsa is mature, skilled warrior. 5) **Seirei no Moribito** - Complex adult female lead. 6) **Violet Evergarden** - Violet's emotional development. 7) **Revolutionary Girl Utena** - Deconstructs gender roles brilliantly."
"What is sakuga?","Define the term and provide context","**Sakuga** (作画) literally means 'drawing pictures,' but in anime fandom refers to moments of exceptionally high-quality animation - fluid motion, detailed drawings, impressive effects, dynamic camera work. These standout sequences are often handled by talented key animators and become highlights fans celebrate. Example: Demon Slayer episode 19's Hinokami Kagura sequence, Mob Psycho 100's action scenes."
"Anime that got better after slow start","List shows worth pushing through initial episodes","**Slow starters that become amazing:** 1) **Steins;Gate** - First 12 episodes slow setup, then becomes incredible thriller. 2) **Gintama** - Comedy takes time to establish characters; stick until ~episode 30. 3) **Hunter x Hunter** - First arc childish, Yorknew onward is masterpiece. 4) **Attack on Titan** - Some find early episodes slow; payoff is massive. 5) **Katekyo Hitman Reborn** - First 20 episodes childish comedy, then becomes solid battle shonen."
"Difference between anime and manga","Explain both mediums and their relationship","**Manga:** Japanese comics, black-and-white, read right-to-left, original source for most anime, allows detailed pacing, reader controls speed. **Anime:** Animated adaptation, adds color, motion, voice acting, music, but sometimes includes filler, censorship, or changed endings. **Relationship:** Most anime adapt manga (or light novels), but some are original (Cowboy Bebop, Evangelion). Manga often continues beyond anime. Both are distinct art forms with unique strengths."
"Why do anime fans hate CGI?","Explain the criticism while acknowledging good CGI examples","**Reasons for CGI criticism:** 1) **Jarring contrast** - CGI characters/objects don't blend with 2D animation. 2) **Uncanny movement** - CGI motion can feel stiff or unnatural compared to hand-drawn fluidity. 3) **Budget-cutting tool** - Often used to save money, reducing quality. 4) **Bad examples** - Overlord goblins, Berserk 2016 traumatized fans. **Good CGI exists:** Houseki no Kuni, Land of the Lustrous, Demon Slayer's effects, AOT titans blend well. When done properly with budget and care, CGI enhances anime. Problem is poor implementation in many cases."
