input,output,language_mix,quality_score
Question number 25 जो mixed language में है।,Answer 25 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8501656571390427
Question number 26 जो mixed language में है।,Answer 26 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.910333882646485
Question number 27 जो mixed language में है।,Answer 27 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9244156811808997
Question number 28 जो mixed language में है।,Answer 28 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8761668272476433
Question number 29 जो mixed language में है।,Answer 29 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.88358529469041
Question number 30 जो mixed language में है।,Answer 30 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9024065315231826
Question number 31 जो mixed language में है।,Answer 31 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8720677738327391
Question number 32 जो mixed language में है।,Answer 32 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9103218366834924
Question number 33 जो mixed language में है।,Answer 33 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.873538861407489
Question number 34 जो mixed language में है।,Answer 34 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8777202949563873
Question number 35 जो mixed language में है।,Answer 35 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8864558519269319
Question number 36 जो mixed language में है।,Answer 36 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8776413735733998
Question number 37 जो mixed language में है।,Answer 37 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8837691673855558
Question number 38 जो mixed language में है।,Answer 38 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8707107444122031
Question number 39 जो mixed language में है।,Answer 39 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9224305500482897
Question number 40 जो mixed language में है।,Answer 40 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8888564857791404
Question number 41 जो mixed language में है।,Answer 41 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8841142813318376
Question number 42 जो mixed language में है।,Answer 42 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8945260991843449
Question number 43 जो mixed language में है।,Answer 43 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8703704928911491
Question number 44 जो mixed language में है।,Answer 44 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8749739560584175
Question number 45 जो mixed language में है।,Answer 45 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8651747166781989
Question number 46 जो mixed language में है।,Answer 46 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8676341103841958
Question number 47 जो mixed language में है।,Answer 47 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8897726085501747
Question number 48 जो mixed language में है।,Answer 48 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9264539516315449
Question number 49 जो mixed language में है।,Answer 49 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8719893061743047
Question number 50 जो mixed language में है।,Answer 50 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8662927197916485
Question number 51 जो mixed language में है।,Answer 51 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8661353832002038
Question number 52 जो mixed language में है।,Answer 52 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8931461073855456
Question number 53 जो mixed language में है।,Answer 53 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8832376430337191
Question number 54 जो mixed language में है।,Answer 54 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.899666753131388
Question number 55 जो mixed language में है।,Answer 55 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8762853984568169
Question number 56 जो mixed language में है।,Answer 56 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8801232167197531
Question number 57 जो mixed language में है।,Answer 57 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8619239656095735
Question number 58 जो mixed language में है।,Answer 58 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8773469093056534
Question number 59 जो mixed language में है।,Answer 59 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9064698040056461
Question number 60 जो mixed language में है।,Answer 60 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9012009501822186
Question number 61 जो mixed language में है।,Answer 61 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9284018305025272
Question number 62 जो mixed language में है।,Answer 62 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9140710668145743
Question number 63 जो mixed language में है।,Answer 63 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9050137585828981
Question number 64 जो mixed language में है।,Answer 64 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8512498038144088
Question number 65 जो mixed language में है।,Answer 65 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8688756377968999
Question number 66 जो mixed language में है।,Answer 66 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9276770063534656
Question number 67 जो mixed language में है।,Answer 67 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8669198291794832
Question number 68 जो mixed language में है।,Answer 68 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9296547408938405
Question number 69 जो mixed language में है।,Answer 69 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9158475213728868
Question number 70 जो mixed language में है।,Answer 70 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9186272558412512
Question number 71 जो mixed language में है।,Answer 71 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.911091625619037
Question number 72 जो mixed language में है।,Answer 72 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8976046573595211
Question number 73 जो mixed language में है।,Answer 73 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8726374551756354
Question number 74 जो mixed language में है।,Answer 74 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9283416408345483
Question number 75 जो mixed language में है।,Answer 75 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8736178653822604
Question number 76 जो mixed language में है।,Answer 76 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8551835913815384
Question number 77 जो mixed language में है।,Answer 77 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9083754993780859
Question number 78 जो mixed language में है।,Answer 78 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.872165228989813
Question number 79 जो mixed language में है।,Answer 79 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8973366348219054
Question number 80 जो mixed language में है।,Answer 80 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8552999564975853
Question number 81 जो mixed language में है।,Answer 81 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9118844130916117
Question number 82 जो mixed language में है।,Answer 82 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8752103649597143
Question number 83 जो mixed language में है।,Answer 83 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9103290572708078
Question number 84 जो mixed language में है।,Answer 84 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8757903797705064
Question number 85 जो mixed language में है।,Answer 85 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9030782774944046
Question number 86 जो mixed language में है।,Answer 86 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9016163795439245
Question number 87 जो mixed language में है।,Answer 87 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.926668501447911
Question number 88 जो mixed language में है।,Answer 88 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8625494254577465
Question number 89 जो mixed language में है।,Answer 89 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8782905218683649
Question number 90 जो mixed language में है।,Answer 90 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9088441058162453
Question number 91 जो mixed language में है।,Answer 91 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9034461255224052
Question number 92 जो mixed language में है।,Answer 92 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.9124529691332106
Question number 93 जो mixed language में है।,Answer 93 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8901148588823737
Question number 94 जो mixed language में है।,Answer 94 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8620402777799151
Question number 95 जो mixed language में है।,Answer 95 which mixes both languages naturally। यह helpful और clear response है।,mixed,0.8663236037947623
