topic,fact,category,verified,quality_score
Technology,Factual statement 67 about important knowledge in the domain that has been verified.,historical,True,0.8957164514613165
Science,Factual statement 68 about important knowledge in the domain that has been verified.,general,True,0.9431849440125945
Technology,Factual statement 69 about important knowledge in the domain that has been verified.,specific,True,0.9306301862884304
History,Factual statement 70 about important knowledge in the domain that has been verified.,general,True,0.9159459568078105
Nature,Factual statement 71 about important knowledge in the domain that has been verified.,specific,True,0.8861917133249312
Technology,Factual statement 72 about important knowledge in the domain that has been verified.,specific,True,0.8906333521552117
Science,Factual statement 73 about important knowledge in the domain that has been verified.,general,True,0.9118432149440866
Technology,Factual statement 74 about important knowledge in the domain that has been verified.,historical,True,0.9228461343555493
Technology,Factual statement 75 about important knowledge in the domain that has been verified.,general,True,0.8880490656719848
Nature,Factual statement 76 about important knowledge in the domain that has been verified.,specific,True,0.8875389869648219
Nature,Factual statement 77 about important knowledge in the domain that has been verified.,historical,True,0.908811278998427
History,Factual statement 78 about important knowledge in the domain that has been verified.,historical,True,0.9296464837224561
Technology,Factual statement 79 about important knowledge in the domain that has been verified.,historical,True,0.9105079829931907
Science,Factual statement 80 about important knowledge in the domain that has been verified.,specific,True,0.9334214437807398
Technology,Factual statement 81 about important knowledge in the domain that has been verified.,specific,True,0.9287233692554161
History,Factual statement 82 about important knowledge in the domain that has been verified.,specific,True,0.9042173209900712
Technology,Factual statement 83 about important knowledge in the domain that has been verified.,general,True,0.9267391951632895
Technology,Factual statement 84 about important knowledge in the domain that has been verified.,historical,True,0.872695737178103
Science,Factual statement 85 about important knowledge in the domain that has been verified.,historical,True,0.9417312438616733
Science,Factual statement 86 about important knowledge in the domain that has been verified.,general,True,0.9094017242320008
History,Factual statement 87 about important knowledge in the domain that has been verified.,general,True,0.9308662761350527
Technology,Factual statement 88 about important knowledge in the domain that has been verified.,general,True,0.8869464583486063
Science,Factual statement 89 about important knowledge in the domain that has been verified.,general,True,0.895677100520696
Technology,Factual statement 90 about important knowledge in the domain that has been verified.,general,True,0.8926718019213103
History,Factual statement 91 about important knowledge in the domain that has been verified.,general,True,0.8818757778483544
Nature,Factual statement 92 about important knowledge in the domain that has been verified.,historical,True,0.8848501107308431
