premise,question,answer,reasoning_type,quality_score
Given premise 15 about a logical scenario.,What can we conclude about scenario 15?,"Based on the premise, we can logically deduce that scenario 15 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8751864211948943
Given premise 16 about a logical scenario.,What can we conclude about scenario 16?,"Based on the premise, we can logically deduce that scenario 16 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.929436331105159
Given premise 17 about a logical scenario.,What can we conclude about scenario 17?,"Based on the premise, we can logically deduce that scenario 17 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8623994077887043
Given premise 18 about a logical scenario.,What can we conclude about scenario 18?,"Based on the premise, we can logically deduce that scenario 18 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.884969177076183
Given premise 19 about a logical scenario.,What can we conclude about scenario 19?,"Based on the premise, we can logically deduce that scenario 19 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9320964678033501
Given premise 20 about a logical scenario.,What can we conclude about scenario 20?,"Based on the premise, we can logically deduce that scenario 20 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8780236756751811
Given premise 21 about a logical scenario.,What can we conclude about scenario 21?,"Based on the premise, we can logically deduce that scenario 21 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8988230589919612
Given premise 22 about a logical scenario.,What can we conclude about scenario 22?,"Based on the premise, we can logically deduce that scenario 22 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8616519513892763
Given premise 23 about a logical scenario.,What can we conclude about scenario 23?,"Based on the premise, we can logically deduce that scenario 23 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8603075301781057
Given premise 24 about a logical scenario.,What can we conclude about scenario 24?,"Based on the premise, we can logically deduce that scenario 24 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8930507335526983
Given premise 25 about a logical scenario.,What can we conclude about scenario 25?,"Based on the premise, we can logically deduce that scenario 25 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9147817368364237
Given premise 26 about a logical scenario.,What can we conclude about scenario 26?,"Based on the premise, we can logically deduce that scenario 26 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8892052679323269
Given premise 27 about a logical scenario.,What can we conclude about scenario 27?,"Based on the premise, we can logically deduce that scenario 27 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9203625328218249
Given premise 28 about a logical scenario.,What can we conclude about scenario 28?,"Based on the premise, we can logically deduce that scenario 28 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9147586187796499
Given premise 29 about a logical scenario.,What can we conclude about scenario 29?,"Based on the premise, we can logically deduce that scenario 29 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9094025259068628
Given premise 30 about a logical scenario.,What can we conclude about scenario 30?,"Based on the premise, we can logically deduce that scenario 30 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9229911970791869
Given premise 31 about a logical scenario.,What can we conclude about scenario 31?,"Based on the premise, we can logically deduce that scenario 31 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8736305991616168
Given premise 32 about a logical scenario.,What can we conclude about scenario 32?,"Based on the premise, we can logically deduce that scenario 32 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9071581809718818
Given premise 33 about a logical scenario.,What can we conclude about scenario 33?,"Based on the premise, we can logically deduce that scenario 33 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.8875420483369901
Given premise 34 about a logical scenario.,What can we conclude about scenario 34?,"Based on the premise, we can logically deduce that scenario 34 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9170374794484284
Given premise 35 about a logical scenario.,What can we conclude about scenario 35?,"Based on the premise, we can logically deduce that scenario 35 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.915971385479813
Given premise 36 about a logical scenario.,What can we conclude about scenario 36?,"Based on the premise, we can logically deduce that scenario 36 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.898487933917229
Given premise 37 about a logical scenario.,What can we conclude about scenario 37?,"Based on the premise, we can logically deduce that scenario 37 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.886293241720114
Given premise 38 about a logical scenario.,What can we conclude about scenario 38?,"Based on the premise, we can logically deduce that scenario 38 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9115884973859539
Given premise 39 about a logical scenario.,What can we conclude about scenario 39?,"Based on the premise, we can logically deduce that scenario 39 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9077338690541294
Given premise 40 about a logical scenario.,What can we conclude about scenario 40?,"Based on the premise, we can logically deduce that scenario 40 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9120978588405118
Given premise 41 about a logical scenario.,What can we conclude about scenario 41?,"Based on the premise, we can logically deduce that scenario 41 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8942041724432939
Given premise 42 about a logical scenario.,What can we conclude about scenario 42?,"Based on the premise, we can logically deduce that scenario 42 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8912007783778464
Given premise 43 about a logical scenario.,What can we conclude about scenario 43?,"Based on the premise, we can logically deduce that scenario 43 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.8757739788953312
Given premise 44 about a logical scenario.,What can we conclude about scenario 44?,"Based on the premise, we can logically deduce that scenario 44 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8945886471376963
Given premise 45 about a logical scenario.,What can we conclude about scenario 45?,"Based on the premise, we can logically deduce that scenario 45 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.8823753293957706
Given premise 46 about a logical scenario.,What can we conclude about scenario 46?,"Based on the premise, we can logically deduce that scenario 46 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8891196977963574
Given premise 47 about a logical scenario.,What can we conclude about scenario 47?,"Based on the premise, we can logically deduce that scenario 47 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8739452763098158
Given premise 48 about a logical scenario.,What can we conclude about scenario 48?,"Based on the premise, we can logically deduce that scenario 48 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9108806738398513
Given premise 49 about a logical scenario.,What can we conclude about scenario 49?,"Based on the premise, we can logically deduce that scenario 49 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8742997550074968
Given premise 50 about a logical scenario.,What can we conclude about scenario 50?,"Based on the premise, we can logically deduce that scenario 50 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9307634716071825
Given premise 51 about a logical scenario.,What can we conclude about scenario 51?,"Based on the premise, we can logically deduce that scenario 51 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.927040407423047
Given premise 52 about a logical scenario.,What can we conclude about scenario 52?,"Based on the premise, we can logically deduce that scenario 52 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8697279743492304
Given premise 53 about a logical scenario.,What can we conclude about scenario 53?,"Based on the premise, we can logically deduce that scenario 53 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8884536638023509
Given premise 54 about a logical scenario.,What can we conclude about scenario 54?,"Based on the premise, we can logically deduce that scenario 54 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8935204967869452
Given premise 55 about a logical scenario.,What can we conclude about scenario 55?,"Based on the premise, we can logically deduce that scenario 55 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8974966362952248
Given premise 56 about a logical scenario.,What can we conclude about scenario 56?,"Based on the premise, we can logically deduce that scenario 56 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.905236863509209
Given premise 57 about a logical scenario.,What can we conclude about scenario 57?,"Based on the premise, we can logically deduce that scenario 57 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.8774285521559958
Given premise 58 about a logical scenario.,What can we conclude about scenario 58?,"Based on the premise, we can logically deduce that scenario 58 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.874877838066575
Given premise 59 about a logical scenario.,What can we conclude about scenario 59?,"Based on the premise, we can logically deduce that scenario 59 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.8655741610887326
Given premise 60 about a logical scenario.,What can we conclude about scenario 60?,"Based on the premise, we can logically deduce that scenario 60 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.8719983631303992
Given premise 61 about a logical scenario.,What can we conclude about scenario 61?,"Based on the premise, we can logically deduce that scenario 61 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8843732326232803
Given premise 62 about a logical scenario.,What can we conclude about scenario 62?,"Based on the premise, we can logically deduce that scenario 62 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8659732365635642
Given premise 63 about a logical scenario.,What can we conclude about scenario 63?,"Based on the premise, we can logically deduce that scenario 63 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.872710404514341
Given premise 64 about a logical scenario.,What can we conclude about scenario 64?,"Based on the premise, we can logically deduce that scenario 64 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.938290012149243
Given premise 65 about a logical scenario.,What can we conclude about scenario 65?,"Based on the premise, we can logically deduce that scenario 65 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9147386632410085
Given premise 66 about a logical scenario.,What can we conclude about scenario 66?,"Based on the premise, we can logically deduce that scenario 66 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9346539465439041
Given premise 67 about a logical scenario.,What can we conclude about scenario 67?,"Based on the premise, we can logically deduce that scenario 67 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9216818169586284
Given premise 68 about a logical scenario.,What can we conclude about scenario 68?,"Based on the premise, we can logically deduce that scenario 68 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9260701764353361
Given premise 69 about a logical scenario.,What can we conclude about scenario 69?,"Based on the premise, we can logically deduce that scenario 69 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.865228563046257
Given premise 70 about a logical scenario.,What can we conclude about scenario 70?,"Based on the premise, we can logically deduce that scenario 70 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8896794697994979
Given premise 71 about a logical scenario.,What can we conclude about scenario 71?,"Based on the premise, we can logically deduce that scenario 71 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9061633230100639
Given premise 72 about a logical scenario.,What can we conclude about scenario 72?,"Based on the premise, we can logically deduce that scenario 72 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8677687884065575
Given premise 73 about a logical scenario.,What can we conclude about scenario 73?,"Based on the premise, we can logically deduce that scenario 73 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8817783967305118
Given premise 74 about a logical scenario.,What can we conclude about scenario 74?,"Based on the premise, we can logically deduce that scenario 74 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8845245511178949
Given premise 75 about a logical scenario.,What can we conclude about scenario 75?,"Based on the premise, we can logically deduce that scenario 75 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9300852520431451
Given premise 76 about a logical scenario.,What can we conclude about scenario 76?,"Based on the premise, we can logically deduce that scenario 76 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9150552684289801
Given premise 77 about a logical scenario.,What can we conclude about scenario 77?,"Based on the premise, we can logically deduce that scenario 77 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8719079671658118
Given premise 78 about a logical scenario.,What can we conclude about scenario 78?,"Based on the premise, we can logically deduce that scenario 78 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9026797861163659
Given premise 79 about a logical scenario.,What can we conclude about scenario 79?,"Based on the premise, we can logically deduce that scenario 79 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.8816128688347129
Given premise 80 about a logical scenario.,What can we conclude about scenario 80?,"Based on the premise, we can logically deduce that scenario 80 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9119864736073461
Given premise 81 about a logical scenario.,What can we conclude about scenario 81?,"Based on the premise, we can logically deduce that scenario 81 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9163705721825158
Given premise 82 about a logical scenario.,What can we conclude about scenario 82?,"Based on the premise, we can logically deduce that scenario 82 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9033906478091063
Given premise 83 about a logical scenario.,What can we conclude about scenario 83?,"Based on the premise, we can logically deduce that scenario 83 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8914596919696626
Given premise 84 about a logical scenario.,What can we conclude about scenario 84?,"Based on the premise, we can logically deduce that scenario 84 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.863195712274926
Given premise 85 about a logical scenario.,What can we conclude about scenario 85?,"Based on the premise, we can logically deduce that scenario 85 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9024696147169754
Given premise 86 about a logical scenario.,What can we conclude about scenario 86?,"Based on the premise, we can logically deduce that scenario 86 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8835152303768729
Given premise 87 about a logical scenario.,What can we conclude about scenario 87?,"Based on the premise, we can logically deduce that scenario 87 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.8864308865692024
Given premise 88 about a logical scenario.,What can we conclude about scenario 88?,"Based on the premise, we can logically deduce that scenario 88 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.903001274037465
Given premise 89 about a logical scenario.,What can we conclude about scenario 89?,"Based on the premise, we can logically deduce that scenario 89 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9149949211422674
Given premise 90 about a logical scenario.,What can we conclude about scenario 90?,"Based on the premise, we can logically deduce that scenario 90 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.8801026584668455
Given premise 91 about a logical scenario.,What can we conclude about scenario 91?,"Based on the premise, we can logically deduce that scenario 91 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.898210312516357
Given premise 92 about a logical scenario.,What can we conclude about scenario 92?,"Based on the premise, we can logically deduce that scenario 92 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.8780034860640642
Given premise 93 about a logical scenario.,What can we conclude about scenario 93?,"Based on the premise, we can logically deduce that scenario 93 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9320219540274027
Given premise 94 about a logical scenario.,What can we conclude about scenario 94?,"Based on the premise, we can logically deduce that scenario 94 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9050631915972
