question,answer,domain,difficulty,quality_score
What is the definition of term 26?,Term 26 refers to a concept in science that describes specific properties or behaviors related to the field.,technology,medium,0.9377155849720481
What is the definition of term 27?,Term 27 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,medium,0.8812155731272932
What is the definition of term 28?,Term 28 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,medium,0.8912854160678323
What is the definition of term 29?,Term 29 refers to a concept in technology that describes specific properties or behaviors related to the field.,science,easy,0.9139645579414002
What is the definition of term 30?,Term 30 refers to a concept in science that describes specific properties or behaviors related to the field.,science,medium,0.9275758806301154
What is the definition of term 31?,Term 31 refers to a concept in science that describes specific properties or behaviors related to the field.,science,medium,0.9017235325926366
What is the definition of term 32?,Term 32 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,science,easy,0.9067962763253341
What is the definition of term 33?,Term 33 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,medium,0.9405992451881511
What is the definition of term 34?,Term 34 refers to a concept in science that describes specific properties or behaviors related to the field.,science,easy,0.904959868150666
What is the definition of term 35?,Term 35 refers to a concept in science that describes specific properties or behaviors related to the field.,math,easy,0.9345316706123515
What is the definition of term 36?,Term 36 refers to a concept in technology that describes specific properties or behaviors related to the field.,technology,easy,0.8902945811644662
What is the definition of term 37?,Term 37 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,science,medium,0.914881410772461
What is the definition of term 38?,Term 38 refers to a concept in science that describes specific properties or behaviors related to the field.,math,medium,0.9257614171633448
What is the definition of term 39?,Term 39 refers to a concept in technology that describes specific properties or behaviors related to the field.,science,medium,0.8870819502779855
What is the definition of term 40?,Term 40 refers to a concept in science that describes specific properties or behaviors related to the field.,science,medium,0.9497501138415685
What is the definition of term 41?,Term 41 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,technology,easy,0.9222031121236536
What is the definition of term 42?,Term 42 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,technology,medium,0.9354062875428225
What is the definition of term 43?,Term 43 refers to a concept in science that describes specific properties or behaviors related to the field.,science,easy,0.9095827997403911
What is the definition of term 44?,Term 44 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,easy,0.9212614320365359
What is the definition of term 45?,Term 45 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,easy,0.9172716512023376
What is the definition of term 46?,Term 46 refers to a concept in science that describes specific properties or behaviors related to the field.,technology,easy,0.8984187769994221
What is the definition of term 47?,Term 47 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,easy,0.9035686835409967
What is the definition of term 48?,Term 48 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,medium,0.9417527250289033
What is the definition of term 49?,Term 49 refers to a concept in technology that describes specific properties or behaviors related to the field.,technology,easy,0.92503338140297
What is the definition of term 50?,Term 50 refers to a concept in science that describes specific properties or behaviors related to the field.,math,medium,0.8981234939139684
What is the definition of term 51?,Term 51 refers to a concept in science that describes specific properties or behaviors related to the field.,math,medium,0.9031464599822794
What is the definition of term 52?,Term 52 refers to a concept in technology that describes specific properties or behaviors related to the field.,science,easy,0.9051311450289895
What is the definition of term 53?,Term 53 refers to a concept in science that describes specific properties or behaviors related to the field.,science,medium,0.9440359573451143
What is the definition of term 54?,Term 54 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,technology,medium,0.9107927314937838
What is the definition of term 55?,Term 55 refers to a concept in science that describes specific properties or behaviors related to the field.,science,easy,0.9198508425367453
What is the definition of term 56?,Term 56 refers to a concept in science that describes specific properties or behaviors related to the field.,technology,easy,0.9196781511608564
What is the definition of term 57?,Term 57 refers to a concept in science that describes specific properties or behaviors related to the field.,math,medium,0.9188445443061515
What is the definition of term 58?,Term 58 refers to a concept in science that describes specific properties or behaviors related to the field.,math,medium,0.8969389593196205
What is the definition of term 59?,Term 59 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,science,easy,0.8856657876207049
What is the definition of term 60?,Term 60 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,technology,medium,0.9015433615417051
What is the definition of term 61?,Term 61 refers to a concept in technology that describes specific properties or behaviors related to the field.,science,easy,0.9031574780991255
What is the definition of term 62?,Term 62 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,science,medium,0.8899455882434439
What is the definition of term 63?,Term 63 refers to a concept in science that describes specific properties or behaviors related to the field.,technology,easy,0.9274888170018937
What is the definition of term 64?,Term 64 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,technology,medium,0.9116892848673542
What is the definition of term 65?,Term 65 refers to a concept in science that describes specific properties or behaviors related to the field.,science,medium,0.8812896227431367
What is the definition of term 66?,Term 66 refers to a concept in science that describes specific properties or behaviors related to the field.,science,medium,0.9422871792721529
What is the definition of term 67?,Term 67 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,technology,medium,0.9143301222140445
What is the definition of term 68?,Term 68 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,easy,0.9128184840486865
What is the definition of term 69?,Term 69 refers to a concept in technology that describes specific properties or behaviors related to the field.,technology,easy,0.8920947656409267
What is the definition of term 70?,Term 70 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,medium,0.9449416198947025
What is the definition of term 71?,Term 71 refers to a concept in science that describes specific properties or behaviors related to the field.,math,easy,0.9148548937253893
What is the definition of term 72?,Term 72 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,easy,0.9426871593911389
What is the definition of term 73?,Term 73 refers to a concept in science that describes specific properties or behaviors related to the field.,technology,easy,0.9052490494639952
What is the definition of term 74?,Term 74 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,easy,0.8956093479392425
What is the definition of term 75?,Term 75 refers to a concept in technology that describes specific properties or behaviors related to the field.,technology,easy,0.9416732900852032
What is the definition of term 76?,Term 76 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,technology,easy,0.888137923085209
What is the definition of term 77?,Term 77 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,medium,0.8981154328013699
What is the definition of term 78?,Term 78 refers to a concept in technology that describes specific properties or behaviors related to the field.,science,easy,0.8890563200902604
What is the definition of term 79?,Term 79 refers to a concept in technology that describes specific properties or behaviors related to the field.,technology,easy,0.9320829367990675
What is the definition of term 80?,Term 80 refers to a concept in science that describes specific properties or behaviors related to the field.,technology,medium,0.8946832839510755
What is the definition of term 81?,Term 81 refers to a concept in science that describes specific properties or behaviors related to the field.,technology,medium,0.9462433336905516
What is the definition of term 82?,Term 82 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,medium,0.8936528802802767
What is the definition of term 83?,Term 83 refers to a concept in science that describes specific properties or behaviors related to the field.,technology,easy,0.9367580959776675
What is the definition of term 84?,Term 84 refers to a concept in technology that describes specific properties or behaviors related to the field.,science,medium,0.9451246179467314
What is the definition of term 85?,Term 85 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,medium,0.9357269168219898
What is the definition of term 86?,Term 86 refers to a concept in technology that describes specific properties or behaviors related to the field.,science,easy,0.8989421211345713
What is the definition of term 87?,Term 87 refers to a concept in technology that describes specific properties or behaviors related to the field.,technology,easy,0.937086239136599
What is the definition of term 88?,Term 88 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,technology,easy,0.8976232744131181
What is the definition of term 89?,Term 89 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,science,easy,0.945240385419886
What is the definition of term 90?,Term 90 refers to a concept in science that describes specific properties or behaviors related to the field.,science,medium,0.9358424583092447
